"1983-01",24963
"1983-02",27380
"1983-03",32588
"1983-04",25511
"1983-05",32313
"1983-06",31858
"1983-07",23929
"1983-08",30452
"1983-09",28688
"1983-10",24936
"1983-11",34078
"1983-12",25601
"1984-01",27238
"1984-02",28126
"1984-03",32845
"1984-04",26001
"1984-05",29377
"1984-06",33275
"1984-07",28720
"1984-08",31159
"1984-09",23885
"1984-10",29233
"1984-11",39031
"1984-12",25918
"1985-01",27885
"1985-02",28695
"1985-03",30102
"1985-04",30110
"1985-05",32692
"1985-06",28224
"1985-07",30919
"1985-08",30229
"1985-09",28395
"1985-10",32274
"1985-11",32992
"1985-12",26956
"1986-01",28996
"1986-02",28154
"1986-03",27478
"1986-04",32720
"1986-05",30466
"1986-06",27618
"1986-07",29949
"1986-08",29821
"1986-09",28098
"1986-10",32021
"1986-11",29145
"1986-12",29428
"1987-01",28863
"1987-02",28687
"1987-03",33043
"1987-04",29092
"1987-05",28731
"1987-06",34249
"1987-07",31617
"1987-08",30542
"1987-09",30420
"1987-10",32422
"1987-11",33084
"1987-12",29167
"1988-01",30164
"1988-02",32655
"1988-03",34654
"1988-04",29570
"1988-05",29096
"1988-06",33523
"1988-07",30801
"1988-08",35274
"1988-09",31433
"1988-10",32584
"1988-11",32625
"1988-12",27569
"1989-01",36909
"1989-02",30822
"1989-03",36301
"1989-04",32327
"1989-05",33149
"1989-06",33027
"1989-07",29178
"1989-08",35109
"1989-09",29988
"1989-10",38742
"1989-11",38934
"1989-12",28986
"1990-01",35780
"1990-02",31676
"1990-03",35069
"1990-04",33238
"1990-05",36737
"1990-06",32407
"1990-07",33399
"1990-08",37719
"1990-09",30027
"1990-10",37644
"1990-11",39654
"1990-12",28707
"1991-01",28942
"1991-02",31080
"1991-03",26923
"1991-04",32836
"1991-05",32000
"1991-06",30802
"1991-07",31344
"1991-08",32409
"1991-09",33971
"1991-10",33584
"1991-11",30248
"1991-12",30469
"1992-01",30505
"1992-02",31112
"1992-03",31784
"1992-04",31682
"1992-05",30539
"1992-06",36502
"1992-07",32139
"1992-08",30369
"1992-09",36918
"1992-10",32316
"1992-11",33333
"1992-12",30016
"1993-01",30559
"1993-02",31478
"1993-03",35299
"1993-04",30442
"1993-05",32145
"1993-06",35360
"1993-07",34610
"1993-08",33873
"1993-09",37132
"1993-10",32695
"1993-11",34048
"1993-12",32256
"1994-01",27517
"1994-02",33454
"1994-03",38539
"1994-04",31775


